"_time",ComputerName,Host,Image,CurrentDirectory,User,ParentImage
"2024-09-23T12:32:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:32:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:31:35.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe"
"2024-09-23T12:31:17.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:31:16.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:31:15.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:31:14.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:31:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:31:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:30:17.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
